date,location,iso_code,variable,value
2022-09-17,Sao Tome and Principe,STP,20-days average,0
2022-09-17,Saudi Arabia,SAU,20-days average,-0.85
2022-09-17,Senegal,SEN,20-days average,0
2022-09-17,Serbia,SRB,20-days average,-20.55
2022-09-17,Seychelles,SYC,20-days average,0
2022-09-17,Sierra Leone,SLE,20-days average,-0.05
2022-09-17,Singapore,SGP,20-days average,19.95
2022-09-17,Slovakia,SVK,20-days average,38.95
2022-09-17,Slovenia,SVN,20-days average,90.65
2022-09-17,Solomon Islands,SLB,20-days average,0
2022-09-17,Somalia,SOM,20-days average,0
2022-09-17,South Africa,ZAF,20-days average,5.35
2022-09-17,South Korea,KOR,20-days average,-418.9
2022-09-17,South Sudan,SSD,20-days average,0
2022-09-17,Spain,ESP,20-days average,0
2022-09-17,Sri Lanka,LKA,20-days average,-2.15
2022-09-17,Sudan,SDN,20-days average,0
2022-09-17,Suriname,SUR,20-days average,0
2022-09-17,Sweden,SWE,20-days average,0
2022-09-17,Switzerland,CHE,20-days average,0
2022-09-17,Syria,SYR,20-days average,-0.6
2022-09-17,Taiwan,TWN,20-days average,641.85
2022-09-17,Tajikistan,TJK,20-days average,0
2022-09-17,Tanzania,TZA,20-days average,0
2022-09-17,Thailand,THA,20-days average,-39.8
2022-09-17,Timor,TLS,20-days average,-0.3
2022-09-17,Togo,TGO,20-days average,1.9
2022-09-17,Trinidad and Tobago,TTO,20-days average,-2.7
2022-09-17,Tunisia,TUN,20-days average,0
2022-09-17,Turkey,TUR,20-days average,0
2022-03-06,Turkmenistan,TKM,20-days average,0
2022-09-17,Uganda,UGA,20-days average,0
2022-09-17,Ukraine,UKR,20-days average,-8.9
2022-09-17,United Arab Emirates,ARE,20-days average,-3.1
2022-09-17,United Kingdom,GBR,20-days average,0
2022-09-17,United States,USA,20-days average,-33.2
2022-09-17,Uruguay,URY,20-days average,0
2022-09-17,Uzbekistan,UZB,20-days average,0
2022-09-17,Vanuatu,VUT,20-days average,0
2022-09-17,Venezuela,VEN,20-days average,-2.65
2022-09-17,Vietnam,VNM,20-days average,38.7
2022-09-17,Yemen,YEM,20-days average,0
2022-09-17,Zambia,ZMB,20-days average,0.6
2022-09-17,Zimbabwe,ZWE,20-days average,1.6
